TURNO_MATRICULA,SITUACAO_CIVIL_ALUNO,SEXO_ALUNO,DATA_CADASTRO_REQUERIMENTO,MOTIVO_REQUERIMENTO,TURMA,AREA_TURMA
Noturno,Casado(a),Masculino,12/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,10/09/2019,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
Noturno,Solteiro(a),Feminino,10/09/2019,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,10/09/2019,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO II,Informática
Noturno,União Estável,Masculino,09/09/2019,Não se adaptou a metodologia,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Casado(a),Masculino,06/09/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO IV,Gestäo
Noturno,Solteiro(a),Masculino,06/09/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,05/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,05/09/2019,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Solteiro(a),Masculino,05/09/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,03/09/2019,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO II,Saúde
Noturno,Solteiro(a),Masculino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Casado(a),Masculino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Casado(a),Feminino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,03/09/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
